Metabolic Measurement Temperatures (  ̊C),,Time,,DHM > 25.4  ̊C,
acute,ramp,acute,ramp,acute,ramp
25.4,25.5,41,46,7.2,0.7
27.9,28.0,21,65,77.1,96.7
30.5,30.7,75,26,233.5,323.8
32.9,33.1,120,39,388.2,558.9
35.4,35.7,85,63,488.3,1137.2
